代碼,學校名稱,地址,電話,座標地址
011K01,遊戲橘子數位科技股份有限公司附設新北市私立幼橘園幼兒園,[235]新北市中和區平河里1鄰連城路260號1樓及268號2樓,(02)82269920#5401,新北市中和區連城路260號
011K02,新北市私立溫特爾幼兒園,[237]新北市三峽區龍埔里5鄰三樹路336號1、2、3樓,(02)26718181,新北市三峽區三樹路336號
011K03,新北市私立新榮富新莊幼兒園,[242]新北市新莊區中信里13鄰中和街204巷1、3號，218巷2、6號，中信里12鄰中和街1、3、5、7、11號,(02)29922174,新北市新莊區中和街204巷1、3號
011K04,新北市私立崇儒幼兒園,[235]新北市中和區安樂里16鄰宜安路56之1號1樓,(02)29435789,新北市中和區宜安路56之1號
011K05,新北市私立悅淨幼兒園,[220]新北市板橋區流芳里9鄰東門街30之2號1樓之66、67、68、69,(02)29602160,新北市板橋區東門街30之2號
011K06,小太陽教育事業股份有限公司附設新北市私立小太陽幼兒園,[234]新北市永和區保順里21鄰仁愛路308號、310號,(02)22331745,新北市永和區仁愛路308號
011K07,新北市私立快樂園地幼兒園,[220]新北市板橋區福星里19鄰忠孝路28號3樓,(02)29633665,新北市板橋區忠孝路28號
011K08,新北市私立美佳幼兒園,[235]新北市中和區安樂里31鄰宜安路118巷24號,(02)2231-7659,新北市中和區宜安路118巷24號
011K09,新北市私立長興幼兒園,[247]新北市蘆洲區正義里2鄰中正路377號、377號2樓、377號3樓之1,(02)82852098,新北市蘆洲區中正路377號
011K0A,新北市私立立聖幼兒園,[220]新北市板橋區港德里1鄰中正路230號（1、2、3層）及中正路230號2樓,(02)89698680,新北市板橋區中正路230號
011K0B,新北市私立山姆幼兒園,[239]新北市鶯歌區中鶯里8鄰仁愛路66號1樓、2樓、3樓(含地下1樓),(02)66375265,新北市鶯歌區仁愛路66號
011K0C,新北市私立丹妮爾幼兒園,[236]新北市土城區日和里21鄰中央路一段285、287號,(02)22633647,新北市土城區中央路一段285、287號
011K0D,新北市私立喜星園幼兒園,[241]新北市三重區成功里19鄰成功路22號2樓之1,(02)89729002,新北市三重區成功路22號
011K0E,新北市私立學仕幼兒園,[241]新北市三重區光明里13鄰重新路三段202、204號2樓、3樓,(02)29747878,新北市三重區重新路三段202、204號
011K0F,新北市私立龍埔成長幼兒園－教育部友善教保服務計畫非營利幼兒園,[237]新北市三峽區龍學里1鄰大學路6號,(02)86716711#890,新北市三峽區大學路6號
011K0G,新北市私立新育幼幼兒園,[242]新北市新莊區思源里19鄰民樂街49號、55號,(02)29945388,新北市新莊區民樂街49號
011K0H,新北市私立福樂幼兒園,[235]新北市中和區中興里18鄰中興街200號,(02)22421777,新北市中和區中興街200號
011K0I,新北市私立陽光天使幼兒園,[231]新北市新店區大鵬里4鄰中正路700巷26號1樓,(02)82183336,新北市新店區中正路700巷26號
011K0J,新北市私立勁寶兒長樂幼兒園,[247]新北市蘆洲區中原里28鄰光復路34號1樓、34號2樓、34號3樓及36號2樓,(02)22881029,新北市蘆洲區光復路34號
011K0K,新北市私立葳瑪藝術幼兒園,[238]新北市樹林區南園里22鄰學士路20號,(02)35019031,新北市樹林區學士路20號
011K0L,新北市私立北大迦美幼兒園,[238]新北市樹林區柑園里13鄰大成路365號,(02)26800301,新北市樹林區大成路365號
011K0M,新北市私立文聖幼兒園,[220]新北市板橋區柏翠里4鄰雙十路3段10巷1弄8號1樓,(02)82584958,新北市板橋區雙十路3段10巷1弄8號
011K0N,新北市私立民治藝術幼兒園,[235]新北市中和區民有里14鄰民治街4號2樓,(02)22232690,新北市中和區民治街4號
011K0O,新北市私立永錡新莊幼兒園,[242]新北市新莊區光華里2鄰民安西路410巷19號1、2、3樓,(02)22035588,新北市新莊區民安西路410巷19號
011K0P,新北市私立小木屋蒙特梭利幼兒園,[244]新北市林口區南勢里13鄰民族路9號1樓,(02)26080828,新北市林口區民族路9號
011X02,財團法人台灣省台北縣大觀書社附設新北市私立大觀幼兒園,[220]新北市板橋區黃石里3鄰西門街5號,(02)29685028,新北市板橋區西門街5號
011X05,新北市私立光星幼兒園,[220]新北市板橋區新民里8鄰文化路一段188巷26號,(02)22570779,新北市板橋區文化路一段188巷26號
011X07,新北市私立育樂幼兒園,[220]新北市板橋區民權里7鄰民權路260巷1弄14、16號1樓,(02)29653936,新北市板橋區民權路260巷1弄14、16號
011X09,新北市私立彬彬幼兒園,[220]新北市板橋區湳興里5鄰館前西路160巷2之1號1樓及2樓,(02)29684216,新北市板橋區館前西路160巷2之1號
011X10,新北市私立海山幼兒園,[220]新北市板橋區民族里5鄰民族路219巷22號1樓,(02)89517088,新北市板橋區民族路219巷22號
011X11,新北市私立和平幼兒園,[220]新北市板橋區建國里21鄰民權路202巷17弄70號,(02)29671237,新北市板橋區民權路202巷17弄70號
011X12,新北市私立天藍幼兒園,[220]新北市板橋區華中里12鄰僑中一街124巷3弄16號1樓,(02)29692577,新北市板橋區僑中一街124巷3弄16號
011X15,新北市私立大安幼兒園,[220]新北市板橋區大安里12鄰大觀路二段59巷29號1樓,(02)22752451,新北市板橋區大觀路二段59巷29號
011X16,新北市私立力品幼兒園,[220]新北市板橋區新興里6鄰館前西路興義巷3號1樓及5號1樓,(02)29678386,新北市板橋區館前西路興義巷3號
011X18,新北市私立田園幼兒園,[220]新北市板橋區廣福里4鄰信義路279巷19-2號、19-3號,(02)29542929,新北市板橋區信義路279巷19-2號
011X19,新北市私立板橋天翔幼兒園,[220]新北市板橋區香雅里11鄰南雅西路二段253之1號1樓及2樓,(02)29664630,新北市板橋區南雅西路二段253之1號
011X21,新北市私立板橋大華幼兒園,[220]新北市板橋區港嘴里16鄰三民路一段1巷24號、26號及32號,(02)29589140,新北市板橋區三民路一段1巷24號
